Crop,FieldName,Lower,Upper
WW,BiomassDry,,
WW,GrainMassDry,,
WW,GrainMoisture,7,25
WW,GrainProtein,7,22
WW,GrainStarch,52,75
WW,GrainGluten,14,45
WW,GrainTestWeight,0,63
WW,GrainMass0,,
WW,GrainMass125,,
WW,BiomassDryPerArea,,
WW,GrainYieldDryPerArea,,
WW,GrainMass0PerArea,,
WW,GrainMass125PerArea,,
WW,HarvestIndex,0.08,0.641
WW,GrainCarbon,,
WW,GrainNitrogen,,
WW,ResidueCarbon,,
WW,ResidueNitrogen,,
SW,BiomassDry,,
SW,GrainMassDry,,
SW,GrainMoisture,7,25
SW,GrainProtein,7,22
SW,GrainStarch,52,75
SW,GrainGluten,14,45
SW,GrainTestWeight,0,63
SW,GrainMass0,,
SW,GrainMass125,,
SW,BiomassDryPerArea,,
SW,GrainYieldDryPerArea,,
SW,GrainMass0PerArea,,
SW,GrainMass125PerArea,,
SW,HarvestIndex,0.08,0.602
SW,GrainCarbon,,
SW,GrainNitrogen,,
SW,ResidueCarbon,,
SW,ResidueNitrogen,,
GB,BiomassDry,,
GB,GrainMassDry,,
GB,GrainMoisture,,
GB,GrainProtein,,
GB,GrainStarch,,
GB,GrainGluten,,
GB,GrainTestWeight,,
GB,GrainMass0,,
GB,GrainMass125,,
GB,BiomassDryPerArea,,
GB,GrainYieldDryPerArea,,
GB,GrainMass0PerArea,,
GB,GrainMass125PerArea,,
GB,HarvestIndex,0.047,0.571
GB,GrainCarbon,,
GB,GrainNitrogen,,
GB,ResidueCarbon,,
GB,ResidueNitrogen,,
SC,BiomassDry,,
SC,GrainMassDry,,
SC,GrainMoisture,,
SC,GrainProtein,,
SC,GrainStarch,,
SC,GrainGluten,,
SC,GrainTestWeight,,
SC,GrainMass0,,
SC,GrainMass125,,
SC,BiomassDryPerArea,,
SC,GrainYieldDryPerArea,,
SC,GrainMass0PerArea,,
SC,GrainMass125PerArea,,
SC,HarvestIndex,0.04,0.496
SC,GrainCarbon,,
SC,GrainNitrogen,,
SC,ResidueCarbon,,
SC,ResidueNitrogen,,
WC,BiomassDry,,
WC,GrainMassDry,,
WC,GrainMoisture,,
WC,GrainProtein,,
WC,GrainStarch,,
WC,GrainGluten,,
WC,GrainTestWeight,,
WC,GrainMass0,,
WC,GrainMass125,,
WC,BiomassDryPerArea,,
WC,GrainYieldDryPerArea,,
WC,GrainMass0PerArea,,
WC,GrainMass125PerArea,,
WC,HarvestIndex,0.04,0.41
WC,GrainCarbon,,
WC,GrainNitrogen,,
WC,ResidueCarbon,,
WC,ResidueNitrogen,,
SB,BiomassDry,,
SB,GrainMassDry,,
SB,GrainMoisture,,8
SB,GrainProtein,,6
SB,GrainStarch,,40
SB,GrainGluten,,
SB,GrainTestWeight,,
