ID,Verb,Variable,NewVal,Comment,Reviewer
CE14_Bio_SW_2017_19-A,Update,CropExists,0,"No crop at this location, sample not taken.",Ian Leslie
CE14_Bio_SW_2017_19-A,Update,GrainTestWeight,,"No crop at this location, sample not taken.",Ian Leslie
CE16_Bio_SW_2017_22-A,Update,BiomassDry,1704.7,1978 g Total biomass found in 9-22-2017 DET,Ian Leslie
CE33_Bio_SW_2017_16-B,Update,GrainTestWeight,56.8,"Test Weight needs to be corrected from 56,8 to 56.8",Ian Leslie
CE95_Bio_SW_2017_3-E,Update,BiomassDry,1255.7,"Dried total biomass value should be replaced with 1529, see orginal note at end of DET in red. ",Ian Leslie
CE107_Bio_SW_2017_15-E,Update,CropExists,0,"No crop at this location, sample not taken.",Ian Leslie
CE107_Bio_SW_2017_15-E,Update,GrainTestWeight,,"No crop at this location, sample not taken.",Ian Leslie
CE212_Bio_SW_2017_19-I,Update,CropExists,0,"No crop at this location, sample not taken.",Ian Leslie
CE212_Bio_SW_2017_19-I,Update,GrainTestWeight,,"No crop at this location, sample not taken.",Ian Leslie
CE213_Bio_SW_2017_20-I,Update,CropExists,0,"No crop at this location, sample not taken.",Ian Leslie
CE213_Bio_SW_2017_20-I,Update,GrainTestWeight,,"No crop at this location, sample not taken.",Ian Leslie
CE292_Bio_SW_2017_29-L,Update,CropExists,0,"No crop at this location, sample not taken.",Ian Leslie
CE292_Bio_SW_2017_29-L,Update,GrainTestWeight,,"No crop at this location, sample not taken.",Ian Leslie
CE423_Bio_SW_2017_19-R,Update,CropExists,0,"No crop at this location, sample not taken.",Ian Leslie
CE423_Bio_SW_2017_19-R,Update,GrainTestWeight,,"No crop at this location, sample not taken.",Ian Leslie
CE425_Bio_SW_2017_21-R,Update,CropExists,0,"No crop at this location, sample not taken.",Ian Leslie
CE425_Bio_SW_2017_21-R,Update,GrainTestWeight,,"No crop at this location, sample not taken.",Ian Leslie
CW426_2017,Create,,"{""HarvestYear"":2017,""FieldId"":""CW"",""ID2"":426,""Crop"":""SW"",""SampleId"":""CW426_2017"",""CropExists"":1}",A decision was made to not harvest at this georeference point even though a crop was planted,Bryan Carlson
CW427_2017,Create,,"{""HarvestYear"":2017,""FieldId"":""CW"",""ID2"":427,""Crop"":""SW"",""SampleId"":""CW427_2017"",""CropExists"":1}",A decision was made to not harvest at this georeference point even though a crop was planted,Bryan Carlson
CW428_2017,Create,,"{""HarvestYear"":2017,""FieldId"":""CW"",""ID2"":428,""Crop"":""SW"",""SampleId"":""CW428_2017"",""CropExists"":1}",A decision was made to not harvest at this georeference point even though a crop was planted,Bryan Carlson
CW429_2017,Create,,"{""HarvestYear"":2017,""FieldId"":""CW"",""ID2"":429,""Crop"":""SW"",""SampleId"":""CW429_2017"",""CropExists"":1}",A decision was made to not harvest at this georeference point even though a crop was planted,Bryan Carlson
CW430_2017,Create,,"{""HarvestYear"":2017,""FieldId"":""CW"",""ID2"":430,""Crop"":""SW"",""SampleId"":""CW430_2017"",""CropExists"":1}",A decision was made to not harvest at this georeference point even though a crop was planted,Bryan Carlson
CW431_2017,Create,,"{""HarvestYear"":2017,""FieldId"":""CW"",""ID2"":431,""Crop"":""SW"",""SampleId"":""CW431_2017"",""CropExists"":1}",A decision was made to not harvest at this georeference point even though a crop was planted,Bryan Carlson
CW432_2017,Create,,"{""HarvestYear"":2017,""FieldId"":""CW"",""ID2"":432,""Crop"":""SW"",""SampleId"":""CW432_2017"",""CropExists"":1}",A decision was made to not harvest at this georeference point even though a crop was planted,Bryan Carlson
CW433_2017,Create,,"{""HarvestYear"":2017,""FieldId"":""CW"",""ID2"":433,""Crop"":""SW"",""SampleId"":""CW433_2017"",""CropExists"":1}",A decision was made to not harvest at this georeference point even though a crop was planted,Bryan Carlson
CW434_2017,Create,,"{""HarvestYear"":2017,""FieldId"":""CW"",""ID2"":434,""Crop"":""SW"",""SampleId"":""CW434_2017"",""CropExists"":1}",A decision was made to not harvest at this georeference point even though a crop was planted,Bryan Carlson
CW435_2017,Create,,"{""HarvestYear"":2017,""FieldId"":""CW"",""ID2"":435,""Crop"":""SW"",""SampleId"":""CW435_2017"",""CropExists"":1}",A decision was made to not harvest at this georeference point even though a crop was planted,Bryan Carlson
CW436_2017,Create,,"{""HarvestYear"":2017,""FieldId"":""CW"",""ID2"":436,""Crop"":""SW"",""SampleId"":""CW436_2017"",""CropExists"":1}",A decision was made to not harvest at this georeference point even though a crop was planted,Bryan Carlson
CW437_2017,Create,,"{""HarvestYear"":2017,""FieldId"":""CW"",""ID2"":437,""Crop"":""SW"",""SampleId"":""CW437_2017"",""CropExists"":1}",A decision was made to not harvest at this georeference point even though a crop was planted,Bryan Carlson
CW438_2017,Create,,"{""HarvestYear"":2017,""FieldId"":""CW"",""ID2"":438,""Crop"":""SW"",""SampleId"":""CW438_2017"",""CropExists"":1}",A decision was made to not harvest at this georeference point even though a crop was planted,Bryan Carlson
CW439_2017,Create,,"{""HarvestYear"":2017,""FieldId"":""CW"",""ID2"":439,""Crop"":""SW"",""SampleId"":""CW439_2017"",""CropExists"":1}",A decision was made to not harvest at this georeference point even though a crop was planted,Bryan Carlson
CW440_2017,Create,,"{""HarvestYear"":2017,""FieldId"":""CW"",""ID2"":440,""Crop"":""SW"",""SampleId"":""CW440_2017"",""CropExists"":1}",A decision was made to not harvest at this georeference point even though a crop was planted,Bryan Carlson
CW441_2017,Create,,"{""HarvestYear"":2017,""FieldId"":""CW"",""ID2"":441,""Crop"":""SW"",""SampleId"":""CW441_2017"",""CropExists"":1}",A decision was made to not harvest at this georeference point even though a crop was planted,Bryan Carlson
CW442_2017,Create,,"{""HarvestYear"":2017,""FieldId"":""CW"",""ID2"":442,""Crop"":""SW"",""SampleId"":""CW442_2017"",""CropExists"":1}",A decision was made to not harvest at this georeference point even though a crop was planted,Bryan Carlson
CW443_2017,Create,,"{""HarvestYear"":2017,""FieldId"":""CW"",""ID2"":443,""Crop"":""SW"",""SampleId"":""CW443_2017"",""CropExists"":1}",A decision was made to not harvest at this georeference point even though a crop was planted,Bryan Carlson
